"","Country","X2015","X2010","X2005","X2000","population","GDP..BILLIONS.","CODE"
"56","EquatorialGuinea",27000,29000,20000,7700,73,15.4,"GNQ"
"57","Eritrea",14000,15000,18000,17000,10528,3.87,"ERI"
"58","Estonia",0,0,0,0,2279147,26.36,"EST"
"59","Ethiopia",0,0,0,0,16144,49.86,"ETH"
"60","Fiji",0,0,0,0,91508,4.17,"FJI"
"61","Finland",0,0,0,0,6127,276.3,"FIN"
"62","France",0,0,0,0,845,2902,"FRA"
"63","Gabon",47000,48000,47000,36000,5228,20.68,"GAB"
"64","Gambia",21000,19000,17000,11000,1315,NA,NA
"65","Georgia",9600,6200,3500,1900,99391,16.13,"GEO"
"66","Germany",0,0,0,0,907791,3820,"DEU"
"67","Ghana",270000,290000,310000,310000,48,35.48,"GHA"
"68","Greece",16000,14000,12000,9000,892,246.4,"GRC"
"69","Grenada",0,0,0,0,5480,0.84,"GRD"
"70","Guatemala",55000,44000,33000,16000,66538,58.3,"GTM"
"71","Guinea",120000,1e+05,92000,87000,283,6.77,"GIN"
"72","Guinea-Bissau",0,0,0,0,1725,1.04,"GNB"
"73","Guyana",7800,6800,5400,4100,1991,3.14,"GUY"
"74","Haiti",130000,180000,250000,270000,3717,8.92,"HTI"
"75","Honduras",20000,24000,31000,43000,81680,19.37,"HND"
"76","Hungary",0,0,0,0,27410,129.7,"HUN"
"77","Iceland",0,0,0,0,32,16.2,"ISL"
"78","India",2100000,2200000,2300000,2e+06,10821,2048,"IND"
"79","Indonesia",690000,5e+05,240000,42000,56,856.1,"IDN"
"80","Iran(IslamicRepublicof)",73000,60000,45000,24000,107,NA,NA
"81","Iraq",0,0,0,0,170,232.2,"IRQ"
"82","Ireland",0,0,0,0,16343,245.8,"IRL"
"83","Israel",0,0,0,0,12609,305,"ISR"
"84","Italy",140000,120000,96000,74000,1844,2129,"ITA"
"85","Jamaica",29000,29000,30000,31000,767,13.92,"JAM"
"86","Japan",0,0,0,0,10711,4770,"JPN"
"87","Jordan",0,0,0,0,1187093,36.55,"JOR"
"88","Kazakhstan",23000,13000,7800,4000,8075,225.6,"KAZ"
"89","Kenya",1500000,1400000,1400000,1700000,7306,62.72,"KEN"
"90","Kiribati",0,0,0,0,9843,0.16,"KIR"
"91","Kuwait",0,0,0,0,331,179.3,"KWT"
"92","Kyrgyzstan",8100,5700,2700,1000,1311051,7.65,"KGZ"
"93","LaoPeople'sDemocraticRepublic",0,0,0,0,257564,NA,NA
"94","Latvia",6800,6800,6600,6000,79109,32.82,"LVA"
"95","Lebanon",2400,1700,1300,1000,36423,47.5,"LBN"
"96","Lesotho",310000,280000,240000,190000,4644,2.46,"LSO"
"97","Liberia",30000,34000,39000,39000,88,2.07,"LBR"
"98","Libya",0,0,0,0,8380,49.34,"LBY"
"99","Lithuania",0,0,0,0,60731,48.72,"LTU"
"100","Luxembourg",0,0,0,0,2793,63.93,"LUX"
"101","Madagascar",48000,42000,48000,44000,126958,11.19,"MDG"
"102","Malawi",980000,960000,980000,980000,7595,4.41,"MWI"
"103","Malaysia",92000,110000,110000,99000,17544,336.9,"MYS"
"104","Maldives",0,0,0,0,46050,2.41,"MDV"
"105","Mali",120000,110000,1e+05,110000,112,12.04,"MLI"
"106","Malta",0,0,0,0,25155,10.57,"MLT"
"107","MarshallIslands",0,0,0,0,50617,0.18,"MHL"
"108","Mauritania",14000,15000,15000,12000,1802,4.29,"MRT"
"109","Mauritius",8200,9200,9500,7300,3892,12.72,"MUS"
"110","Mexico",2e+05,170000,150000,150000,5957,1296,"MEX"
"111","Micronesia(FederatedStatesof)",0,0,0,0,6802,NA,NA
"112","Monaco",0,0,0,0,633026,6.06,"MCO"
"113","Mongolia",500,200,100,100,1978,11.73,"MNG"
"114","Montenegro",0,0,0,0,5851,4.66,"MNE"
"115","Morocco",24000,23000,18000,11000,2135,112.6,"MAR"
"116","Mozambique",1500000,1300000,1e+06,660000,4503,16.59,"MOZ"
"117","Myanmar",220000,230000,250000,190000,6278,NA,NA
"118","Namibia",210000,190000,180000,170000,38,13.11,"NAM"
"119","Nauru",0,0,0,0,2905,NA,NA
"120","Nepal",39000,46000,47000,23000,638286,19.64,"NPL"
"121","Netherlands",0,0,0,0,2927469,880.4,"NLD"
"122","NewZealand",0,0,0,0,570,201,"NZL"
"123","Nicaragua",9900,8900,9600,11000,588,11.85,"NIC"
"124","Niger",49000,58000,72000,65000,2078,8.29,"NER"
"125","Nigeria",0,0,0,0,24235,594.3,"NGA"
"126","Niue",0,0,0,0,17215,0.01,"NIU"
"127","Norway",0,0,0,0,30331,511.6,"NOR"
"128","Oman",0,0,0,0,409,80.54,"OMN"
"129","Pakistan",1e+05,48000,19000,8800,17600,237.5,"PAK"
"130","Palau",0,0,0,0,432,0.65,"PLW"
"131","Panama",17000,15000,13000,12000,53,44.69,"PAN"
"132","PapuaNewGuinea",40000,36000,33000,25000,4068,16.1,"PNG"
"133","Paraguay",17000,16000,14000,10000,1263,31.3,"PRY"
"134","Peru",66000,61000,60000,62000,127017,208.2,"PER"
"135","Philippines",42000,16000,5800,2700,104,284.6,"PHL"
"136","Poland",0,0,0,0,424211,552.2,"POL"
"137","Portugal",0,0,0,0,3554,228.2,"PRT"
"138","Qatar",0,0,0,0,38,212,"QAT"
"139","RepublicofKorea",0,0,0,0,2959,NA,NA
"140","RepublicofMoldova",18000,15000,12000,7700,622,NA,NA
"141","Romania",0,0,0,0,34378,199,"ROU"
"142","RussianFederation",0,0,0,0,27978,NA,NA
"143","Rwanda",2e+05,190000,180000,220000,53897,8,"RWA"
"144","SaintKittsandNevis",0,0,0,0,2459,0.81,"KNA"
"145","SaintLucia",0,0,0,0,12,1.35,"LCA"
"146","SaintVincentandtheGrenadines",0,0,0,0,28514,0.75,"VCT"
"147","Samoa",0,0,0,0,16940,0.83,"WSM"
"148","SanMarino",0,0,0,0,273,1.86,"SMR"
"149","SaoTomeandPrincipe",0,0,0,0,4596,0.36,"STP"
"150","SaudiArabia",0,0,0,0,6082,777.9,"SAU"
"151","Senegal",46000,50000,52000,36000,19899,15.88,"SEN"
"152","Serbia",0,0,0,0,182202,42.65,"SRB"
"153","Seychelles",0,0,0,0,357333,1.47,"SYC"
"154","SierraLeone",51000,53000,45000,20000,55,5.41,"SLE"
"155","Singapore",0,0,0,0,5190,307.9,"SGP"
"156","Slovakia",0,0,0,0,4491,99.75,"SVK"
"157","Slovenia",0,0,0,0,188925,49.93,"SVN"
"158","SolomonIslands",0,0,0,0,21,1.16,"SLB"
"159","Somalia",30000,29000,28000,23000,3929,2.37,"SOM"
"160","SouthAfrica",7e+06,6400000,6500000,5300000,7619,341.2,"ZAF"
"161","SouthSudan",180000,160000,130000,86000,6639,11.89,"SSD"
"162","Spain",150000,150000,130000,120000,31377,1400,"ESP"
"163","SriLanka",4200,2500,1300,1000,100699,71.57,"LKA"
"164","Sudan",56000,44000,29000,15000,37986,70.03,"SDN"
"165","Suriname",3800,3800,3800,3100,10358,5.27,"SUR"
"166","Swaziland",220000,180000,150000,130000,3474,3.84,"SWZ"
"167","Sweden",0,0,0,0,2235,559.1,"SWE"
"168","Switzerland",0,0,0,0,19815,679,"CHE"
"169","SyrianArabRepublic",0,0,0,0,144097,NA,NA
"170","Tajikistan",16000,12000,8600,5100,11610,9.16,"TJK"
"171","Thailand",440000,480000,520000,630000,193,373.8,"THA"
"172","TheformerYugoslavrepublicofMacedonia",0,0,0,0,32,NA,NA
"173","Timor-Leste",0,0,0,0,190,4.51,"TLS"
"174","Togo",110000,120000,140000,130000,31540,4.84,"TGO"
"175","Tonga",0,0,0,0,15129,0.49,"TON"
"176","TrinidadandTobago",11000,10000,9300,7700,7095,29.63,"TTO"
"177","Tunisia",2600,1600,1000,500,93,49.12,"TUN"
"178","Turkey",0,0,0,0,6453,813.3,"TUR"
"179","Turkmenistan",0,0,0,0,5535,43.5,"TKM"
"180","Tuvalu",0,0,0,0,39,0.04,"TUV"
"181","Uganda",1500000,1200000,960000,970000,5424,26.09,"UGA"
"182","Ukraine",220000,230000,250000,180000,2064,134.9,"UKR"
"183","UnitedArabEmirates",0,0,0,0,584,416.4,"ARE"
"184","UnitedKingdomofGreatBritainandNorthernIreland",0,0,0,0,10787,NA,NA
"185","UnitedRepublicofTanzania",1400000,1400000,1300000,1300000,55012,NA,NA
"186","UnitedStatesofAmerica",0,0,0,0,1744161,NA,NA
"187","Uruguay",10000,9800,9400,6700,12340,55.6,"URY"
"188","Uzbekistan",33000,49000,57000,21000,46444,63.08,"UZB"
"189","Vanuatu",0,0,0,0,20966,0.82,"VUT"
"190","Venezuela(BolivarianRepublicof)",110000,94000,73000,48000,56,NA,NA
"191","VietNam",260000,230000,190000,1e+05,185,NA,NA
"192","Yemen",9200,6400,4300,3000,32,45.45,"YEM"
"193","Zambia",1200000,1100000,940000,9e+05,109,25.61,"ZMB"
"194","Zimbabwe",1400000,1200000,1300000,1700000,1001037,13.74,"ZWE"
"195","AmericanSamoa",NA,NA,NA,NA,NA,0.75,"ASM"
"196","Anguilla",NA,NA,NA,NA,NA,0.18,"AIA"
"197","Aruba",NA,NA,NA,NA,NA,2.52,"ABW"
"198","Bahamas,The",NA,NA,NA,NA,NA,8.65,"BHM"
"199","Bermuda",NA,NA,NA,NA,NA,5.2,"BMU"
"200","Bolivia",NA,NA,NA,NA,NA,34.08,"BOL"
"201","BritishVirginIslands",NA,NA,NA,NA,NA,1.1,"VGB"
"202","Brunei",NA,NA,NA,NA,NA,17.43,"BRN"
"203","Burma",NA,NA,NA,NA,NA,65.29,"MMR"
"204","CaymanIslands",NA,NA,NA,NA,NA,2.25,"CYM"
"205","Congo,DemocraticRepublicofthe",NA,NA,NA,NA,NA,32.67,"COD"
"206","Congo,Republicofthe",NA,NA,NA,NA,NA,14.11,"COG"
"207","Coted'Ivoire",NA,NA,NA,NA,NA,33.96,"CIV"
"208","Curacao",NA,NA,NA,NA,NA,5.6,"CUW"
"209","CzechRepublic",NA,NA,NA,NA,NA,205.6,"CZE"
"210","FalklandIslands(IslasMalvinas)",NA,NA,NA,NA,NA,0.16,"FLK"
"211","FaroeIslands",NA,NA,NA,NA,NA,2.32,"FRO"
"212","FrenchPolynesia",NA,NA,NA,NA,NA,7.15,"PYF"
"213","Gambia,The",NA,NA,NA,NA,NA,0.92,"GMB"
"214","Gibraltar",NA,NA,NA,NA,NA,1.85,"GIB"
"215","Greenland",NA,NA,NA,NA,NA,2.16,"GRL"
"216","Guam",NA,NA,NA,NA,NA,4.6,"GUM"
"217","Guernsey",NA,NA,NA,NA,NA,2.74,"GGY"
"218","HongKong",NA,NA,NA,NA,NA,292.7,"HKG"
"219","Iran",NA,NA,NA,NA,NA,402.7,"IRN"
"220","IsleofMan",NA,NA,NA,NA,NA,4.08,"IMN"
"221","Jersey",NA,NA,NA,NA,NA,5.77,"JEY"
"222","Korea,North",NA,NA,NA,NA,NA,28,"KOR"
"223","Korea,South",NA,NA,NA,NA,NA,1410,"PRK"
"224","Kosovo",NA,NA,NA,NA,NA,5.99,"KSV"
"225","Laos",NA,NA,NA,NA,NA,11.71,"LAO"
"226","Liechtenstein",NA,NA,NA,NA,NA,5.11,"LIE"
"227","Macau",NA,NA,NA,NA,NA,51.68,"MAC"
"228","Macedonia",NA,NA,NA,NA,NA,10.92,"MKD"
"229","Micronesia,FederatedStatesof",NA,NA,NA,NA,NA,0.34,"FSM"
"230","Moldova",NA,NA,NA,NA,NA,7.74,"MDA"
"231","NewCaledonia",NA,NA,NA,NA,NA,11.1,"NCL"
"232","NorthernMarianaIslands",NA,NA,NA,NA,NA,1.23,"MNP"
"233","PuertoRico",NA,NA,NA,NA,NA,93.52,"PRI"
"234","Russia",NA,NA,NA,NA,NA,2057,"RUS"
"235","SaintMartin",NA,NA,NA,NA,NA,0.56,"MAF"
"236","SaintPierreandMiquelon",NA,NA,NA,NA,NA,0.22,"SPM"
"237","SintMaarten",NA,NA,NA,NA,NA,304.1,"SXM"
"238","Syria",NA,NA,NA,NA,NA,64.7,"SYR"
"239","Taiwan",NA,NA,NA,NA,NA,529.5,"TWN"
"240","Tanzania",NA,NA,NA,NA,NA,36.62,"TZA"
"241","UnitedKingdom",NA,NA,NA,NA,NA,2848,"GBR"
"242","UnitedStates",NA,NA,NA,NA,NA,17420,"USA"
"243","Venezuela",NA,NA,NA,NA,NA,209.2,"VEN"
"244","Vietnam",NA,NA,NA,NA,NA,187.8,"VNM"
"245","VirginIslands",NA,NA,NA,NA,NA,5.08,"VGB"
"246","WestBank",NA,NA,NA,NA,NA,6.64,"WBG"
