"","Country","X2015","X2010","X2005","X2000","NA.","population","GDP..BILLIONS.","CODE"
"134","Peru",0.17,2800,3100,4100,5100,127017,208.2,"PER"
"135","Philippines",0.12,6400,4200,1100,1000,104,284.6,"PHL"
"136","Poland",0,0,0,0,0,424211,552.2,"POL"
"137","Portugal",0,0,0,0,0,3554,228.2,"PRT"
"138","Qatar",0,0,0,0,0,38,212,"QAT"
"139","RepublicofKorea",0,0,0,0,0,2959,NA,NA
"140","RepublicofMoldova",0.55,1400,1800,1600,1500,622,NA,NA
"141","Romania",0,0,0,0,0,34378,199,"ROU"
"142","RussianFederation",0,0,0,0,0,27978,NA,NA
"143","Rwanda",1.41,7500,9000,12000,16000,53897,8,"RWA"
"144","SaintKittsandNevis",0,0,0,0,0,2459,0.81,"KNA"
"145","SaintLucia",0,0,0,0,0,12,1.35,"LCA"
"146","SaintVincentandtheGrenadines",0,0,0,0,0,28514,0.75,"VCT"
"147","Samoa",0,0,0,0,0,16940,0.83,"WSM"
"148","SanMarino",0,0,0,0,0,273,1.86,"SMR"
"149","SaoTomeandPrincipe",0,0,0,0,0,4596,0.36,"STP"
"150","SaudiArabia",0,0,0,0,0,6082,777.9,"SAU"
"151","Senegal",0.14,1600,1600,4700,6600,19899,15.88,"SEN"
"152","Serbia",0,0,0,0,0,182202,42.65,"SRB"
"153","Seychelles",0,0,0,0,0,357333,1.47,"SYC"
"154","SierraLeone",0.69,2500,4000,6400,5100,55,5.41,"SLE"
"155","Singapore",0,0,0,0,0,5190,307.9,"SGP"
"156","Slovakia",0,0,0,0,0,4491,99.75,"SVK"
"157","Slovenia",0,0,0,0,0,188925,49.93,"SVN"
"158","SolomonIslands",0,0,0,0,0,21,1.16,"SLB"
"159","Somalia",0.48,3000,2800,3000,3300,3929,2.37,"SOM"
"160","SouthAfrica",14.4,380000,350000,470000,790000,7619,341.2,"ZAF"
"161","SouthSudan",0,15000,15000,14000,15000,6639,11.89,"SSD"
"162","Spain",0.14,3000,3600,2700,2800,31377,1400,"ESP"
"163","SriLanka",0.05,1000,500,500,200,100699,71.57,"LKA"
"164","Sudan",0,5600,5400,4600,2700,37986,70.03,"SDN"
"165","Suriname",0.62,200,200,500,500,10358,5.27,"SUR"
"166","Swaziland",23.6,11000,15000,14000,16000,3474,3.84,"SWZ"
"167","Sweden",0,0,0,0,0,2235,559.1,"SWE"
"168","Switzerland",0,0,0,0,0,19815,679,"CHE"
"169","SyrianArabRepublic",0,0,0,0,0,144097,NA,NA
"170","Tajikistan",0.33,1600,1600,1200,1000,11610,9.16,"TJK"
"171","Thailand",0.2,6900,12000,18000,31000,193,373.8,"THA"
"172","TheformerYugoslavrepublicofMacedonia",0,0,0,0,0,32,NA,NA
"173","Timor-Leste",0,0,0,0,0,190,4.51,"TLS"
"174","Togo",1.21,4400,5100,9500,17000,31540,4.84,"TGO"
"175","Tonga",0,0,0,0,0,15129,0.49,"TON"
"176","TrinidadandTobago",0.52,500,1000,1000,1000,7095,29.63,"TTO"
"177","Tunisia",0.04,500,500,200,100,93,49.12,"TUN"
"178","Turkey",0,0,0,0,0,6453,813.3,"TUR"
"179","Turkmenistan",0,0,0,0,0,5535,43.5,"TKM"
"180","Tuvalu",0,0,0,0,0,39,0.04,"TUV"
"181","Uganda",5.12,83000,130000,1e+05,72000,5424,26.09,"UGA"
"182","Ukraine",0.68,16000,9500,21000,36000,2064,134.9,"UKR"
"183","UnitedArabEmirates",0,0,0,0,0,584,416.4,"ARE"
"184","UnitedKingdomofGreatBritainandNorthernIreland",0,0,0,0,0,10787,NA,NA
"185","UnitedRepublicofTanzania",2.11,54000,82000,110000,130000,55012,NA,NA
"186","UnitedStatesofAmerica",0,0,0,0,0,1744161,NA,NA
"187","Uruguay",0.27,500,1000,1000,1000,12340,55.6,"URY"
"188","Uzbekistan",0.02,500,1000,6600,7700,46444,63.08,"UZB"
"189","Vanuatu",0,0,0,0,0,20966,0.82,"VUT"
"190","Venezuela(BolivarianRepublicof)",0.33,5600,6000,6600,7100,56,NA,NA
"191","VietNam",0.28,14000,19000,25000,26000,185,NA,NA
"192","Yemen",0.07,1000,1000,1000,500,32,45.45,"YEM"
"193","Zambia",8.55,60000,73000,81000,90000,109,25.61,"ZMB"
"194","Zimbabwe",8.84,64000,79000,87000,120000,1001037,13.74,"ZWE"
"195","AmericanSamoa",NA,NA,NA,NA,NA,NA,0.75,"ASM"
"196","Anguilla",NA,NA,NA,NA,NA,NA,0.18,"AIA"
"197","Aruba",NA,NA,NA,NA,NA,NA,2.52,"ABW"
"198","Bahamas,The",NA,NA,NA,NA,NA,NA,8.65,"BHM"
"199","Bermuda",NA,NA,NA,NA,NA,NA,5.2,"BMU"
"200","Bolivia",NA,NA,NA,NA,NA,NA,34.08,"BOL"
"201","BritishVirginIslands",NA,NA,NA,NA,NA,NA,1.1,"VGB"
"202","Brunei",NA,NA,NA,NA,NA,NA,17.43,"BRN"
"203","Burma",NA,NA,NA,NA,NA,NA,65.29,"MMR"
"204","CaymanIslands",NA,NA,NA,NA,NA,NA,2.25,"CYM"
"205","Congo,DemocraticRepublicofthe",NA,NA,NA,NA,NA,NA,32.67,"COD"
"206","Congo,Republicofthe",NA,NA,NA,NA,NA,NA,14.11,"COG"
"207","Coted'Ivoire",NA,NA,NA,NA,NA,NA,33.96,"CIV"
"208","Curacao",NA,NA,NA,NA,NA,NA,5.6,"CUW"
"209","CzechRepublic",NA,NA,NA,NA,NA,NA,205.6,"CZE"
"210","FalklandIslands(IslasMalvinas)",NA,NA,NA,NA,NA,NA,0.16,"FLK"
"211","FaroeIslands",NA,NA,NA,NA,NA,NA,2.32,"FRO"
"212","FrenchPolynesia",NA,NA,NA,NA,NA,NA,7.15,"PYF"
"213","Gambia,The",NA,NA,NA,NA,NA,NA,0.92,"GMB"
"214","Gibraltar",NA,NA,NA,NA,NA,NA,1.85,"GIB"
"215","Greenland",NA,NA,NA,NA,NA,NA,2.16,"GRL"
"216","Guam",NA,NA,NA,NA,NA,NA,4.6,"GUM"
"217","Guernsey",NA,NA,NA,NA,NA,NA,2.74,"GGY"
"218","HongKong",NA,NA,NA,NA,NA,NA,292.7,"HKG"
"219","Iran",NA,NA,NA,NA,NA,NA,402.7,"IRN"
"220","IsleofMan",NA,NA,NA,NA,NA,NA,4.08,"IMN"
"221","Jersey",NA,NA,NA,NA,NA,NA,5.77,"JEY"
"222","Korea,North",NA,NA,NA,NA,NA,NA,28,"KOR"
"223","Korea,South",NA,NA,NA,NA,NA,NA,1410,"PRK"
"224","Kosovo",NA,NA,NA,NA,NA,NA,5.99,"KSV"
"225","Laos",NA,NA,NA,NA,NA,NA,11.71,"LAO"
"226","Liechtenstein",NA,NA,NA,NA,NA,NA,5.11,"LIE"
"227","Macau",NA,NA,NA,NA,NA,NA,51.68,"MAC"
"228","Macedonia",NA,NA,NA,NA,NA,NA,10.92,"MKD"
"229","Micronesia,FederatedStatesof",NA,NA,NA,NA,NA,NA,0.34,"FSM"
"230","Moldova",NA,NA,NA,NA,NA,NA,7.74,"MDA"
"231","NewCaledonia",NA,NA,NA,NA,NA,NA,11.1,"NCL"
"232","NorthernMarianaIslands",NA,NA,NA,NA,NA,NA,1.23,"MNP"
"233","PuertoRico",NA,NA,NA,NA,NA,NA,93.52,"PRI"
"234","Russia",NA,NA,NA,NA,NA,NA,2057,"RUS"
"235","SaintMartin",NA,NA,NA,NA,NA,NA,0.56,"MAF"
"236","SaintPierreandMiquelon",NA,NA,NA,NA,NA,NA,0.22,"SPM"
"237","SintMaarten",NA,NA,NA,NA,NA,NA,304.1,"SXM"
"238","Syria",NA,NA,NA,NA,NA,NA,64.7,"SYR"
"239","Taiwan",NA,NA,NA,NA,NA,NA,529.5,"TWN"
"240","Tanzania",NA,NA,NA,NA,NA,NA,36.62,"TZA"
"241","UnitedKingdom",NA,NA,NA,NA,NA,NA,2848,"GBR"
"242","UnitedStates",NA,NA,NA,NA,NA,NA,17420,"USA"
"243","Venezuela",NA,NA,NA,NA,NA,NA,209.2,"VEN"
"244","Vietnam",NA,NA,NA,NA,NA,NA,187.8,"VNM"
"245","VirginIslands",NA,NA,NA,NA,NA,NA,5.08,"VGB"
"246","WestBank",NA,NA,NA,NA,NA,NA,6.64,"WBG"
